Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,3125,27426,2217,63273,16144.82,0.544%,13.50872,394.09,1.83,29873.5
TOTAL,3125,27426,2217,63273,16144.82,0.544%,13.50872,394.09,1.83,29873.5
